lieu,N
France,5407
Paris (France),4860
Montréal (Québec),2618
New York (N.Y.),1900
Londres (Angleterre),1794
Québec (Province),1775
États-Unis,1291
Angleterre,1157
Italie,655
Allemagne,608
Chine,475
Russie,461
Espagne,458
Europe,453
Los Angeles (Calif.),416
Algérie,397
Bretagne (France),393
Québec (Québec),391
Japon,386
Californie,362
Rome (Italie),345
Berlin (Allemagne),344
Inde,338
Venise (Italie),323
Mexique,320
Irlande,307
Égypte,301
Grande-Bretagne,287
Afrique,275
Australie,264
Marseille (France),257
Suisse,251
Canada,243
Capitale-Nationale (Québec),242
San Francisco (Calif.),236
Chicago (Ill.),222
Grèce,214
Boston (Mass.),213
Écosse,212
Israël,207
Normandie (France),197
"Hollywood (Los Angeles, Calif.)",191
Maroc,191
Belgique,189
Suède,186
Argentine,180
Provence (France),179
Nouvelle-France,177
Brésil,172
Washington (D.C.),172
Barcelone (Espagne),167
Tōkyō (Japon),167
Floride,166
Buenos Aires (Argentine),165
Moscou (Russie),164
Lyon (France),160
Rome,153
Norvège,151
Vienne (Autriche),150
Pologne,149
Texas,145
Bruxelles (Belgique),144
Cuba,142
İstanbul (Turquie),137
Viêt-nam,137
Haïti,135
New York (État),134
Sicile (Italie),134
Toronto (Ont.),133
Afrique du Sud,129
Bas-Saint-Laurent (Québec),129
Madrid (Espagne),128
Stockholm (Suède),126
France (Sud),123
Jérusalem,123
URSS,123
Corse (France),121
Maine,121
"Manhattan (New York, N.Y.)",121
La Nouvelle-Orléans (Louis.),116
Gaspésie - Îles-de-la-Madeleine (Québec),113
Iran,113
Moyen-Orient,113
Prague (République tchèque),110
Nice (France),108
Islande,107
Turquie,105
Auvergne (France),104
Liban,103
Montana,100
Dublin (Irlande),99
Abitibi-Témiscamingue (Québec),98
Afghānistān,98
Caroline du Nord,98
Las Vegas (Nev.),98
Ontario,97
Roumanie,97
Florence (Italie),96
Genève (Suisse),96
Naples (Italie),96
Palestine,96
Louisiane,95
Le Caire (Égypte),94
Alger (Algérie),91
Estrie (Québec),91
Nouvelle-Angleterre,90
Amsterdam (Pays-Bas),88
Autriche,88
Lisbonne (Portugal),88
New Jersey,88
Alsace (France),87
Seattle (Wash.),87
Chili,86
Édimbourg (Écosse),86
Hongrie,86
Toulouse (France),86
Côte-Nord (Québec),85
Montérégie (Québec),85
Miami (Flor.),83
Arizona,81
Mauricie-Bois-Francs (Québec),81
Saint-Pétersbourg (Russie),81
Virginie,81
Bordeaux (France),79
Laurentides (Québec : Région administrative),79
Beyrouth (Liban),78
Vatican,77
Amérique du Sud,76
Ottawa (Ont.),76
Milan (Italie),75
Saguenay - Lac-Saint-Jean (Québec),75
Tunisie,75
Colombie,74
Syrie,74
Copenhague (Danemark),73
Finlande,73
"Paris, Banlieue de (France)",73
Danemark,72
Massachusetts,72
Pékin (Chine),72
Shanghai (Chine),72
Gaspésie (Québec),71
Nantes (France),71
Pays-Bas,71
Athènes (Grèce),70
États-Unis (Sud),70
Nouvelle-Zélande,70
Philadelphie (Penns.),70
Alaska,69
"Brooklyn (New York, N.Y.)",69
Côte d'Azur (France),68
Martinique,68
Tel-Aviv (Israël),68
Chaudière-Appalaches (Québec),67
Outaouais (Québec),67
Sibérie (Russie),67
Colorado,66
Trois-Rivières (Québec),66
Cornwall (Angleterre),65
Lorraine (France),65
Mississippi,64
Vancouver (C.-B.),64
Acadie,63
Highlands (Écosse),63
Irak,63
La Havane (Cuba),62
Antilles,61
