personnage,N
Inspecteurs de police,2720
Jeunes femmes,2633
Policiers,2479
Écrivains,2381
Mères et filles,2033
Personnes disparues,2002
Pères et fils,1939
Journalistes,1700
Pères et filles,1655
Mères et fils,1599
Frères et sœurs,1470
Détectives,1423
Parents et enfants,1409
Tueurs en série,1358
Couples,1265
Couples mariés,1159
Médecins,1135
Français,1103
Adolescentes,1083
Sœurs,1077
Frères,1067
Militaires,1059
Politiciens,1039
Rois et souverains,1038
Adolescents,1034
Peintres,1008
Soldats,974
Veuves,941
Amants,938
Femmes journalistes,913
Jeunes hommes,901
Criminels,899
Avocats,788
Prostituées,781
Femmes âgées,761
Femmes mariées,730
Marginaux,730
Hommes âgés,710
Hommes d'âge moyen,700
Riches,699
Meurtriers,698
Femmes,697
Nobles,693
Amis,691
Juifs,673
Prêtres,665
Femmes d'âge moyen,660
Inspectrices de police,652
Immigrants,651
Écrivaines,636
Officiers de renseignements,619
Américains,614
Espions,590
Grands-mères,576
Agriculteurs,574
Hommes d'affaires,555
Orphelins,543
Mères,541
Artistes,507
Homosexuels masculins,495
Femmes seules,490
Voisins,466
Extraterrestres,465
Scientifiques,463
Terroristes,456
Allemands,453
Filles,453
Prisonniers,451
Enseignants,440
Poètes,438
Trafiquants de drogues,438
Enfants disparus,437
Aristocrates,434
Actrices,431
Grands-parents et enfants,423
Pères,423
Infirmières,420
Veufs,416
Vampires,409
Étudiants,408
Orphelines,407
Russes,406
Femmes détectives,402
Femmes enceintes,401
Alcooliques,400
Enseignantes,394
Empereurs,393
Reines,390
Avocates,386
Maîtresses,384
Anciens combattants,381
Amnésiques,375
Exilés,373
Acteurs,366
Indiens d'Amérique,362
Marins,360
Chevaliers,357
Étudiantes,354
Policières,354
Musiciens,353
Nazis,351
Écrivains français,348
Québécois,347
Tueurs à gages,346
Employées de maison,345
Photographes,345
Grands-pères,343
Psychopathes,341
Producteurs et réalisateurs de cinéma,339
Anglais,336
Oncles,334
Magiciens,330
Voleurs,330
Psychiatres,329
Mères de famille monoparentale,328
Voyageurs,328
Italiens,327
Amoureux,324
Garçons,322
Séducteurs,320
Femmes victimes de violence,319
Personnes âgées,316
Toxicomanes,313
Ex-détenus,312
Enfants,309
Cousins,303
Chinois,299
Femmes divorcées,297
Jumeaux,297
Ex-policiers,291
Tantes,290
Sans-abri,289
Enfants adoptés,285
Religieuses,284
Personnes endeuillées,281
Cancéreux,273
Princes,273
Éditeurs,270
Présidents,269
Retraités,268
Lesbiennes,267
Chanteuses,265
Professeurs (Enseignement supérieur),263
Fugitifs recherchés par la justice,261
Architectes,257
Algériens,256
Activistes,254
Juges,254
Réfugiés,254
Sorciers,253
Célibataires,251
Sorcières,251
Victimes de viol,244
Femmes peintres,242
Milliardaires,242
Philosophes,237
Aventuriers,234
Pêcheurs,234
Maris,233
Jeunes adultes,232
Commerçants,231
Juives,231
Homosexuels,228
Moines,228
Princesses,227
Indiens (Habitants de l'Inde),224
Malades en phase terminale,224
Révolutionnaires,224
Assassins,223
Élèves du secondaire,222
Chômeurs,221
Victimes d'accidents de la route,221
Mafieux,220
Musulmans,219
Célébrités,218
Hommes seuls,218
Mère et enfant,217
Britanniques,215
Fantômes,215
Escrocs,212
Irlandais,212
Femmes photographes,211
Mercenaires,211
Romancières,211
Membres d'une secte,210
Actrices de cinéma,207
Esclaves,207
Hommes,207
Pères absents,207
Pianistes,207
Femmes médecins,205
Enfants abandonnés,203
Officiers,203
Conjoints,201
Musiciens rock,200
Romanciers,199
Chiens,196
Libraires,196
Jeunes délinquants,194
Touristes,194
Archéologues,191
Travailleurs,188
Démon,187
Serveuses,187
Enfants maltraités,186
Survivants au suicide d'un proche,186
Chats,185
Immigrants clandestins,185
Jumelles (Personnes),185
Victimes d'enlèvement,184
Intellectuels,183
Capitaines de navire,182
Dissidents,182
Capitalistes et financiers,180
Enfants naturels,180
Fonctionnaires,180
Mères célibataires,178
Personnes vivant avec un trouble de santé mentale,176
Hommes violents,175
Ingénieurs,175
Femmes artistes,173
Japonais,173
Pirates,173
Chirurgiens,170
Monstres,169
Excentriques,167
Survivants de l'Holocauste,167
Danseuses,164
Colocataires,163
Otages,161
Chefs d'entreprise,159
Explorateurs,159
Pauvres,158
Maires,157
Nièces,157
Chanteurs,156
Psychanalystes,155
Psychologues,155
Compositeurs,153
Belles-mères,152
Espagnols,152
Shérifs,152
Diplomates,151
Métis,151
Espionnes,150
Hommes divorcés,150
Communistes,149
Acteurs de cinéma,148
Africains,147
Loups-garous,147
Banquiers,146
Marocains,144
Professeurs de littérature,143
Femmes psychologues,142
Elfes,141
Marchands d'œuvres d'art,141
Médecins légistes,140
Neveux,139
Noirs américains,137
Haïtiens,135
Colons (Colonisation),134
Historiens,134
Garçons adolescents,133
Religieux,133
Chasseurs,132
Ducs (Nobles),132
Fils,131
Industriels,131
Écossais,129
Père et enfant,129
Zombies,128
Parents adoptifs,127
Tsiganes,127
Secrétaires,126
Cadres (Personnel),125
Femmes d'affaires,125
Insulaires,124
Parents et enfants adultes,124
Papes,123
Personnes aveugles,123
Généraux,122
Mannequins (Personnes),122
Pirates informatiques,122
Dieux,121
Cuisiniers,120
Écrivaines françaises,120
Dépressifs,119
Égyptiens,119
Prisonniers de guerre,119
Parents et adolescents,118
Boxeurs,116
Meurtrières,116
Hôteliers,115
Notaires,115
Antiquaires,114
Employés de maison,113
Métisses,113
Personnes handicapées,113
Témoins,113
Dragons,112
Nains,112
Dictateurs,111
Fées,111
Patients des hôpitaux psychiatriques,111
Savants,111
Pilotes d'aéronef,110
Bandits et brigands,109
Informaticiens,109
Millionnaires,109
Personnalités,109
Polonais,109
Sculpteurs,109
Anges,108
Ennemis,108
Suicidés,108
Collectionneurs,107
Malades,107
Prisonnières,107
Turcs,107
Adoptés,106
Chamans,106
Chauffeurs de taxi,106
"Maris,",106
Femmes séparées,105
Divorcés,103
Enfants négligés,103
Israéliens,103
Libanais,103
Mathématiciens,103
Pédophiles,103
Comtes,102
Femmes abandonnant la résidence familiale,102
Anarchistes,101
Citadins,101
Gangsters,101
Scénaristes,101
Adolescentes fugueuses,100
Femmes archéologues,100
Gardiens,100
Personnes noires,100
Enfants de riches,99
Femmes libraires,99
Femmes dépressives,98
Schizophrènes,98
Catholiques,97
Chrétiens,97
Pasteurs (Religion),97
Mexicains,96
Stripteaseuses,95
Femmes au foyer,94
Grands-parents,94
Femmes médiums,93
Immigrantes,93
Musiciennes,93
Pères naturels,93
Proxénètes,93
Traducteurs,93
Travestis,93
Cuisinières (Personnes),92
Femmes psychiatres,92
Femmes scientifiques,92
Jardiniers,92
Harceleurs,91
Physiciens,91
Travailleurs forestiers,91
Bibliothécaires,89
Étrangers,89
Propriétaires fonciers,89
Personnes muettes,88
Petits-enfants,88
Éditrices,87
Morts,87
Roumains,87
Vietnamiens,87
Ermites,86
Ministres,86
Comtesses,85
Iraniens,85
Professeurs de philosophie,85
Reporters,85
Beaux-pères,84
Enfants malades,84
Hommes séparés,84
Parents,84
Professeurs d'histoire,84
Profileurs (Personnes),84
Chercheurs,83
Demi-frères,83
Gardes du corps,83
Missionnaires,83
Restaurateurs (Alimentation),83
Cambrioleurs,82
Chefs de police,82
Cubains,82
Gouvernantes,82
Petites-filles,82
Vagabonds,82
Évêques,81
Pionniers,81
Violeurs,81
Androïdes,80
Entrepreneurs,80
Gourous,80
Indiennes d'Amérique,80
Personnages fictifs,80
Courtisanes,79
Modèles (Art),79
Personnes d'âge moyen,79
Romains,79
Traductrices,79
Canadiens,78
Contrebandiers,78
Demi-sœurs,78
Inventeurs,78
Médiums,78
Poétesses,78
Violonistes,78
Curés,77
Esprits,77
Femmes militaires,77
Impératrices,77
Palestiniens,77
Personnes défigurées,77
Prostitués,77
Robots,77
Victimes d'homicide,77
Animaux fabuleux,76
Astronautes,76
Enfants autistes,76
Enfants d'immigrants,76
Femmes activistes,76
Femmes bibliothécaires,76
Grecs,76
Motards (Gangs),76
Pharaons,75
Animaux,74
Cardinaux,74
Comptables,74
Enfants maltraités devenus adultes,74
Guérisseuses,74
Prisonniers politiques,74
Argentins,73
Canadiens français,73
Condamnés à mort,73
Femmes vivant avec un trouble de santé mentale,73
Prophètes,73
Victimes de guerre,73
Écrivains américains,72
Femmes alcooliques,72
Femmes en surpoids,72
Imposteurs,72
Protestants,72
Joueurs de soccer,71
Victimes de catastrophes,71
Bergers,70
Employeurs,70
Féministes,70
Femmes esclaves,70
Femmes pianistes,70
Naufragés,70
Bretons,69
Enfants surdoués,69
Femmes malades,69
Fiancés,69
Hongrois,69
Mineurs,69
Reclus,69
Arabes,68
Biographes,68
Écrivains québécois,68
Femmes chefs d'entreprise,68
Maîtres spirituels,68
Pères de famille monoparentale,68
Voyageuses,68
Beaux-frères,67
Écologistes,67
Productrices et réalisatrices de cinéma,67
Acadiens,66
Collaborateurs (Histoire),66
Guerriers,66
Inuits,66
Victimes d'accidents,66
Adolescents fugueurs,65
Enfants victimes d'abus sexuels,65
Musulmanes,65
Pères violents,65
Seigneurs,65
Voyants,65
Colonels,64
Élèves,64
Femmes fatales,64
Victimes de harcèlement,64
Adolescents difficiles,63
Coréens,63
Héros,63
Pharmaciens,63
Victimes d'actes criminels,63
Alchimistes,62
Barons (Nobles),62
Déserteurs,62
Enfants victimes d'abus sexuels devenus adultes,62
Êtres humains,62
Hippies,62
Promoteurs immobiliers,62
Vétérinaires,62
Ambassadeurs,61
Femmes politiques,61
Joueurs de hockey,61
Mères absentes,61
Sénateurs,61
Serbes,61
Victimes d'inceste,61
Alpinistes,60
Anorexiques,60
Coureurs de bois,60
Couturières,60
Officières de renseignements,60
Voleurs d'objets d'art,60
Barmans,59
Femmes aveugles,59
Gouverneurs,59
Personnes blanches,59
Rabbins,59
Artistes de cirque,58
Chefs d'État,58
Enfants handicapés,58
Femmes de la classe supérieure,58
Musiciens de jazz,58
Femmes noires,57
Sultans,57
Dramaturges,56
Entraîneurs (Sports),56
Femmes biologistes,56
Guides touristiques (Personnes),56
Sénégalais,56
Suisses,56
Tueuses en série,56
Abbés,55
Anthropologues,55
Belles-sœurs,55
Biologistes,55
Boulangers,55
Coiffeurs,55
Cowboys,55
Mendiants,55
Mères naturelles,55
Patients en psychothérapie,55
Brésiliens,54
Enquêteurs de la fonction publique,54
Étudiants en médecine,54
Femmes violonistes,54
Arméniens,53
Ballerines,53
Barmaids,53
Chefs de direction,53
Conteurs,53
Jeunes couples,53
Mères divorcées,53
Professeurs de français,53
Couples âgés,52
Hors-la-loi,52
Marchands d'armes,52
Sidéens,52
Traîtres,52
Vignerons,52
Vikings,52
Agents immobiliers,51
Hauts fonctionnaires,51
Maris abandonnant la résidence familiale,51
Néerlandais,51
Premier amour,51
Premiers ministres,51
Travailleuses sociales,51
Voyous,51
Autistes,50
Belges,50
Correspondants,50
Députés,50
Écrivaines québécoises,50
Extrémistes religieux,50
Fiancées,50
Forgerons,50
Indicateurs,50
Nomades,50
Noyés,50
Pompiers,50
Producteurs et metteurs en scène de théâtre,50
Psychothérapeutes,50
Sages-femmes,50
Viticulteurs,50
Chevaux,49
Danois,49
Enfants juifs,49
Fans,49
Professeures (Enseignement supérieur),49
Recluses,49
Sosies,49
Canadiens anglais,48
Enfants et adultes,48
Fascistes,48
Français d'origine algérienne,48
Guitaristes,48
Juifs polonais,48
Parents naturels,48
Producteurs et réalisateurs de télévision,48
Revenants,48
Déesses,47
Dentistes,47
Écologistes (Défenseurs de l'environnement),47
Employés de bureau,47
Enfants de divorcés,47
Infirmiers,47
Locataires,47
Personnes ayant une déficience intellectuelle,47
Prête-plumes,47
Rédacteurs publicitaires,47
Suédois,47
Banlieusards,46
Concierges,46
Époux,46
Juifs américains,46
Ukrainiens,46
Astronomes,45
Cavaliers,45
Conspirateurs,45
Critiques,45
Familles,45
Internautes,45
Magiciennes,45
Pères divorcés,45
Vendeuses,45
Candidats à la présidence,44
Chauffeurs particuliers,44
Étudiants de premier cycle,44
Femmes titulaires (Enseignement primaire),44
Gardiens de prison,44
Iroquois (Indiens),44
Norvégiens,44
Pasteurs,44
Professeurs d'anglais,44
Australiens,43
Coiffeuses,43
Criminels de guerre,43
Femmes toxicomanes,43
Gardiennes d'enfants,43
Géants,43
Guérisseurs,43
Historiennes,43
Historiens d'art,43
Portugais,43
Réfugiés politiques,43
Restaurateurs (Art),43
Squatters,43
Templiers,43
Afghans,42
Anciens nazis,42
Correspondants de guerre,42
Frères jumeaux,42
Joueurs (Jeux de hasard),42
Officiers de marine,42
Serveurs,42
Tunisiens,42
Bipolaires,41
Bourreaux,41
Criminologistes,41
Étudiantes en médecine,41
Femmes psychothérapeutes,41
Islandais,41
Noires américaines,41
Passionnés d'informatique,41
Perdants,41
Tireurs isolés,41
Vendeurs,41
Angoissés,40
Archivistes,40
Australiens (Aborigènes),40
Incurables,40
Insomniaques,40
Libertins,40
Muses,40
Professeurs (Enseignement secondaire),40
Samouraï,40
Syriens,40
Travailleurs agricoles,40
Agents de bord,39
Agents de parquet,39
Artistes et modèles,39
Aventurières,39
Chiliens,39
Colombiens,39
Congolais,39
Criminelles,39
Dandys,39
Enfants pauvres,39
Pâtissiers,39
Prédicateurs,39
Réfugiés juifs,39
Séductrices,39
Sud-Africains,39
Apôtres,38
Avocats de la défense pénale,38
Danseurs,38
Diplômés d'université,38
Étudiantes de premier cycle,38
Étudiants du collégial,38
Étudiants en droit,38
Internes,38
Linguistes,38
Réfugiées,38
Retraitées,38
Trappeurs,38
Adolescents homosexuels,37
Bibliophiles,37
Chefs d'orchestre,37
Colporteurs,37
Coopérants,37
Criminels vivant avec un trouble de santé mentale,37
Djihadistes,37
Druides,37
Embaumeurs,37
Enfants de la rue,37
Femmes cadres,37
Femmes handicapées,37
Femmes juges,37
Femmes sans-abri,37
Gardiens de phare,37
Gens d'affaires,37
Géologues,37
Loups,37
Médecins militaires,37
Membres de groupes d'autodéfense,37
Naturalistes,37
Professeurs de mathématiques,37
Victimes d'accidents d'avion,37
Victimes de torture,37
Victimes de violence,37
Violoncellistes,37
Animateurs de télévision,36
Bouchers,36
Caissières,36
Couples d'artistes,36
Critiques d'art,36
Écrivains et lecteurs,36
Femmes psychanalystes,36
Footballeurs,36
Marchandes d'œuvres d'art,36
Mystiques,36
Orpailleurs,36
Personnes vierges,36
Valets,36
Victimes,36
Agentes immobilières,35
Camionneurs,35
Cours et courtisans,35
Cyclistes,35
Enfants en famille d'accueil,35
Extrémistes,35
Hospitalisés,35
Incestueux,35
Moines bouddhistes,35
Noctambules,35
Pèlerins,35
Rédacteurs en chef,35
Saintes,35
Scribes,35
Tatoueurs,35
Victimes d'agression,35
Acrobates,34
Adolescentes du secondaire,34
Adolescentes enceintes,34
Camerounais,34
Comtes.,34
Étudiantes en littérature,34
Facteurs (Postes),34
Francs-maçons,34
Héroïnomanes,34
Motocyclistes,34
Nationalistes,34
Néonazis,34
Pakistanais,34
Pieds-noirs,34
Pyromanes,34
Sculptrices,34
Travailleuses,34
Victimes du terrorisme,34
Adolescents du secondaire,33
Agricultrices,33
Américains d'origine irlandaise,33
Analphabètes,33
Apiculteurs,33
Athées,33
Chirurgiens plasticiens,33
Chômeuses,33
Compagnons imaginaires,33
Corses,33
Couturières (Créatrices de mode),33
Fleuristes,33
Généticiens,33
Invalides de guerre,33
Irakiens,33
Jeunes mariés,33
Juifs français,33
Mécaniciens,33
Personnages dans la littérature,33
Photographes de presse,33
Poètes français,33
Productrices et réalisatrices de télévision,33
Professeurs de musique,33
Stagiaires,33
Surdoués,33
Transsexuels,33
Albinos,32
Apprentis,32
Charpentiers,32
Chimistes,32
Dieu,32
Duchesses (Nobles),32
Écrivains anglais,32
Écrivains et éditeurs,32
Enfants d'alcooliques,32
Ethnologues,32
Ex-détenues,32
Favorites,32
Femmes architectes,32
Juges d'instruction,32
Maliens,32
Paralysés,32
Paraplégiques,32
Population rurale,32
Procureurs généraux,32
Tuberculeux,32
Albanais,31
Astrologues,31
Autochtones,31
Dessinateurs de bandes dessinées,31
Enfants soldats,31
Imprésarios,31
Jeunes homosexuels,31
Jeunes mariées,31
Maîtres d'hôtel,31
Mécènes,31
Neurologues,31
Parents malades en phase terminale,31
Personnes séparées,31
Personnes sourdes,31
Âmes sœurs,30
Animateurs de radio,30
Astrophysiciens,30
Autrichiens,30
Botanistes,30
Chasseurs de primes,30
Conseillers politiques,30
Enfants de victimes d'homicide,30
Enfants uniques,30
Ex-prêtres,30
Femmes en milieu rural,30
Femmes scénaristes,30
Imprimeurs,30
Mères au foyer,30
Névrosés,30
Nourrissons,30
Paléontologistes,30
Personnes en surpoids,30
Photographes de guerre,30
Saintes chrétiennes,30
Soviétiques,30
