genre,N
Nouvelles,4655
Nouvelles fantastiques,377
Nouvelles érotiques,205
Nouvelles de science-fiction,198
Nouvelles à suspense,122
Nouvelles humoristiques,66
Nouvelles d'horreur,44
Nouvelles policières,34
Nouvelles sociales,28
Nouvelles autobiographiques,26
Nouvelles policières noires,16
Nouvelles d'amour,12
Nouvelles de merveilleux héroïque,12
Nouvelles historiques,12
Nouvelles psychologiques,12
Nouvelles de guerre,11
Nouvelles sentimentales,9
Nouvelles biographiques,6
Nouvelles familiales,4
Nouvelles régionalistes,4
Nouvelles religieuses (Genre littéraire),4
Nouvelles épistolaires,3
Nouvelles inspirées de faits réels,3
Nouvelles d'aventures,2
Nouvelles judiciaires (Genre littéraire),2
Nouvelles d'espionnage,1
Nouvelles occultes,1
Nouvelles western,1
