genre,N
Romans,24585
Romans policiers,8297
Romans à suspense,5685
Romans historiques,5223
Romans psychologiques,3465
Romans sentimentaux,2976
Romans de science-fiction,2286
Romans biographiques,2160
Romans fantastiques,1922
Romans familiaux,1851
Romans humoristiques,1667
Romans autobiographiques,1560
Romans de merveilleux héroïque,1329
Romans d'aventures,1085
Romans sociaux,1040
Romans érotiques,1001
Romans politiques,723
Romans d'éducation,670
Romans policiers noirs,616
Romans d'espionnage,614
Romans inspirés de faits réels,513
Romans d'amour,510
Romans d'horreur,375
Romans régionalistes,320
Romans épistolaires,307
Romans de guerre,267
Romans judiciaires,228
Romans gothiques,193
Romans western,125
Romans religieux,82
Romans apocalyptiques,1
Romans dystopiques,1
Romans écologiques,1
Romans utopiques,1
